Age,Title,Review,Rating,Recommend,Positive Feedback Count,Department Name,Class Name,Review Length
53,Cool and fun!,"I honestly, have to give these jeans 5stars.  i loved them when i saw them in the store and had to have them and when i wore them, i got tons of compliments. they are super comfortable too!  i read some of the other reviews and thought that their comments were a little strange.  these jeans are obviously not classic and they will go of style but, if you run a little outside of the style box you will welcome them in your wardrobe.",5,1,0,Bottoms,Jeans,446
41,Beautiful,This dress is beautiful in person. i am 5'1 and was afraid it would be too long but it was perfect. i only need 2 inch heel and it will be fine.  details on the flowers are really nice. one more plus it machine washable.,5,1,0,Dresses,Dresses,229
41,Lovely fabric and style,"....but not for me. i usually try to buy petite sizes since i am only 5ft 0in, but this was just too pretty to pass up so i took a chance and ordered a regular size xs. right out of the bag, i was impressed with the colors and fabric of this romper. however, i did not notice that the entire back was open until i put it on. from the pictures, it looks like there is a small opening, but when i put it on i was exposed all the way down to my lower back. this may not be the same for a taller person s",4,1,4,Bottoms,Pants,523
26,Nice top but fabric not that good,"This top is very nice. i ordered it in black, it looked very good. the embroidery and pleated details give it a very nice look. the fabric, however, feels like heavy cotton. it didn't feel very soft and comfortable, it was a bit hard for me to wear because i usually prefer soft cotton. while i think this will retain it's shape and not stretch like softer cotton, i am sending it back. it felt a bit heavy to wear.",3,0,0,Tops,Blouses,448
42,Very pretty,"I bought this blouse on sale in a medium because it was the last one left in the store. i usually wear a large, but surprisingly it fit. i'm a woman of color, and the off white and lace looks great with my complexion. i got many compliments on the blouse as i made my way to the register to check out. i can't wait to wear it this spring. i'll have to be careful when wearing this blouse because one good snag with a fingernail, or necklace and the lace will be torn. other than that, i'm very happy",4,1,0,Tops,Blouses,510
37,Gorgeous!,"I picked this up this weekend. so gorgeous! i usually don't do maxi length. at 5'3"" it can be overwhelming. but this is so flattering! this is floor length on me. i picked up a couple tops at another store because the suggested sweaters were just too baggy for my frame. i'll pair it with a cream blouse (pictured) to dress up and a pink crepe blouse and denim jacket for a more casual look. i'm usually a 4 and the small fits perfectly.",5,1,3,Bottoms,Skirts,446
38,Unique blouse; comfortable fit,"I'm an xl in retailer tops, and the xl fits nicely in this blouse. if you are athletic or slender or have a petite bust, you can probably size down.
.
this is a nice lightweight sweater. i would not say that it is too thin or anything like that; its just lightweight for being categorized as a sweater. i absolutely love the pattern placement of this sweater, it makes the sweater so unique and figure flattering. honestly, i'm not crazy about kimono/bell sleeves because i feel they are at best impr",4,1,4,Tops,Fine gauge,532
33,Too big with very odd arms,"I really wanted to love this shirt. the snowflake and stripe design is really cute, and the fabric is of nice quality. it's a very loose fit, which i would've been willing to work with, but... as mentioned in previous reviews, the shoulder seam rests in an odd place on your upper arm, and there are little bumps in the fabric on the arms that appear similar to what happens if you leave a shirt on a wire hanger too long. it looks like you have nubby little wings coming out of your arms. not attrac",2,0,0,Tops,Knits,526
23,The most versatile top.,"I bought this shirt to wear to work (i'm a teacher). this shirt is so amazing. i'm able to pair it with work pants to dress it up, and in denim to dress it down. the cut is incredible, with the peplum waist coming right below my breasts a little above my waist. the length is perfect, and it just seems to create the most perfect shape. the material is high quality, and i just love the fabric texture. it's very soft, and gives a tiny bit of stretch, but not much. i did size up in this shirt (i'm u",5,1,6,Tops,Blouses,523
33,Sleeves too tight,"Ordered a l and xl, the sleeves were so tight on both sizes but the rest of the shirt was wide and loose. the tight sleeves were not proportional with the rest of the shirt. both sizes had to be returned.",1,0,12,Tops,Knits,221
47,Pretty under blazer or without.,This blouse is so pretty! i love the neck tie which gives it interest and won't look boring on it's own. i'll wear this all-year round. i ordered an xxs which fits perfect.,5,1,0,Tops,Knits,203
24,"Cute capris, fit great","I bought the size 27 in these - i'm usually a 27 or 28 (measurements 27-38), and they fit perfectly. i'm more of a pear shape and they're very flattering. the moss color is lovely and will go with a lot, and they can be dressed up or down.",4,1,0,Bottoms,Pants,261
28,Beautiful jumpsuit,"Absolutely love this jumpsuit. i am 5'2''/103lbs and the xs fits perfectly (i am typically an xs/00). when i read previous reviews i was quite excited to read that most people found it to be ""short waisted""-- the waist band actually hits my natural waist (just how it is pictured on the model), which never happens! great quality, thick fabric and the pleats in the front are beautiful. can't wait to wear it!",5,1,0,Bottoms,Pants,427
40,Love at first wear,"This is one of those 'i need one in every color' kind of shirts. need - not simply want. it is very well constructed. the fabric is the perfect weight and is sooooooo comfortable. the raspberry is a little more dusty rose than pictured online, but it works. i've only had the shirt a couple of day. in addition to wanting to wear it every day, the fabric has not pilled. i'm short-waisted, and i have not had any issue with the high-low hem or cropped length.",5,1,0,Tops,Knits,477
19,Online way different from in person,This dress is very thick cotton material. like a sweatshirt. i was hoping to wear this to a wedding but it is a tunic at best. the bell part of the sleeves also stick out awkwardly because of the fabric.,1,0,2,Intimate,Lounge,238
24,Disappointed,"I was really excited for this sweater, its not terrible but its not great. the sweater was large making me feel like a blob in it. it is warm and the fabric is pretty there was just no shape to it. i would try a different sweater.",3,0,0,Tops,Sweaters,242
28,Short and wide,First off the prints are gorgeous - i ordered three. i wanted to love them but unfortunately i found them short and wide. so back they go..,3,1,0,Tops,Blouses,153
62,Substantial!,I love this sweatshirt! i truly did not pay much attention to it on line but while in my local store one was returned and it caught my eye immediately as the flowers are embroidered in a nice substantial rope type yarn to give it a more demential effect. the torn holes here and there give the appearance of being the most loved garment in your closet...and it has become mine along with the jacket with the same embroidery...funny how 2 pieces i did not give a second thought about have become my li,5,1,0,Trend,Trend,512
23,No more rainy day blues,"I had my eye on the umbrella print shirt for a while. i was able to scoop it at a small discount. i typically get a 2 in maeve tops but per the reviews i got a 4, i definitely could have done with a 2 but i'll probably stay with what i have. adorable print, comfortable, well made.",5,1,2,Tops,Blouses,304
59,Not that great,"This top is on the boxy side but the design is cute and i love the pink color. the problem i had with this shirt is the huge arm holes. one side you could see the top of my bra, the other side was below the side of my bra. you could also see the inside back of the shirt through this arm hole, it was that big. this went back, will not re-order. i usually order xs or xsp, this was an xsp.",2,0,0,Tops,Knits,403
41,Unique and beautiful,"This coat is spectacular. it was love at first sight but it was only after trying it on in a store that i decided i really wanted it, even at the full price. the design is unique and gorgeous, you don't see coats like this on the street, not a cookie-cutter. it's very soft, yet warm, and has a gorgeous ochre colored lining making it very easy to put on and a standout when a bit of the lining is revealed.
it seems the fit is what most reviewers complain about and i can see that. i tried size 2 (",5,1,5,Jackets,Outerwear,519
56,Great skirt!,"Just purchased this skirt. it is absolutely the most comfortable skirt for every season......every color imaginable will go with this skirt. great with denim shirt too. lightweight cotton knit makes the skirt comfy with any temperature. waistband is wide and slimming to the tummy. i stand 5 foot 10 inches, 174 lbs and it is perfect in length. platform or flats, dress up or down. my favorite is a v neck tee with a couple necklaces and your good to go......",5,1,16,Bottoms,Skirts,471
46,Hot mess on me,"Maybe it's my curves or the way i'm only 5'4"" but this was a hot mess on me! it is soooo long and cut to low for my 36d chest. it is slim and the cut usually is flattering but somehow this dress was anything but! it is really shiny and the material is heavier than anticipated for warm weather. if you are super tall and skinny with no boobs, go for it! had to send back!",2,0,14,Dresses,Dresses,385
44,Fabulous dressed up tee!,"I'm always searching for a ""dressed up tees"" and these were fabulous! true to size and great quality!",5,1,0,Tops,Knits,125
56,Sweet shirt!,"This is a light, so fun to wear shirt. it's delicate and can be worn to dress up jeans. i would very much recommend it. love it!",5,1,0,Tops,Blouses,140
46,Pretty top,"Wasn't sure what to expect - but got this on sale, and glad i did.
it is much prettier in person. soft and silky.
great fit also - and versatile (mix and match)",5,1,0,Tops,Knits,170
70,Comfortable,"This will be my third pair of hei hei shorts.  i was very pleased with the previous two shorts, sand city short and dobby beach comber.  all shorts have nice materials and not too tight, perfect for the summer.  i typically wear s or m depending with the material and design.  i bought size s and it fits nicely.",4,1,1,Bottoms,Shorts,323
59,Perfect pants,"Love these pants. very figure flattering and fabric stretch holds up well. no sag at end of day. i am 5'6.5"" and size 6 hits ankle bone. i love these so much i went to order a second pair and size 6 sold out so i ordered an 8 . will see how a size bigger works. i think may give a looser look but be comfy. so happy to have these. wear with booties and my tunics, peasant blouses and much more. highly recommend.",5,1,1,Bottoms,Pants,425
26,Great casual skirt,It's comfortable and easy to wear with lots of styles.,4,1,0,Bottoms,Skirts,72
66,Stylish option good for petites,"This is my first pair of mcguire jeans, and i like the fabric and fit.  thank goodness for petite sizing!  these 32p fit just right on my hips, with no gap between the waistband and my body.  fits through thigh and hips and pretty slim all the way down.  nice stretch.  of course, the proof will be after wearing a few times and washing.  i will update my review if i do not like them so much after that,",4,1,0,Bottoms,Jeans,435
41,Stunning and sensational,"In love with this dress! so feminine and lovely. makes you feel beautiful. the fabric, flow, and construction of this dress is stunning and flattering. i am 5ft2in and 114 lbs...bought the xs and it fit perfectly in the waist but is a bit snug in my not so large bust area.  however, the s was too large and did nothing to accentuate my waist and changed the whole look of the dress on me. cannot wait to wear this dress, but it is so long &needs to be altered. itll be worth it!",5,1,0,Dresses,Dresses,503
26,Lovely autumn/winter dress,"I saw the colorblock horizon dress in my local store (which sadly no longer carries petites) in the red/black color combination and loved it - the colorsblocking, the fabric, the length. after ordering a few petite sizes online the only xsp was the green/black. although not what i would normally where colorwise, i love this dress and the xsp is the only one that fits. this dress runs large and on a smaller frame, the sp looked shapeless and unattractive. perfect length and attractive v-neck that",5,1,0,Dresses,Dresses,526
64,Easy tank and perfect price!,"This tank is an easy piece to add into your summer wardrobe and its amazingly affordable. i don't think the material is too think like the previous reviewer. i chose the petite size and it sits well at the chest and is a great length. not too long, but still able to front tuck. i bought two colors and am interested in all the rest!",5,1,3,Tops,Knits,361
47,Lovely poncho!,"I was hesitant to buy this, but i'm so glad i did. this is a beautiful poncho. i am petite and usually ponchos overwhelm me, but this fits just right. it is extremely soft, not itchy at all. the color along the bottom of the poncho is actually a bright pink color, it looks a little more red in the photo to me. i'm still happy with this. it will be a wonderful addition to my fall/winter wardrobe. great product!",5,1,3,Tops,Fine gauge,427
26,Versatile tank!,"This tank is super amazing. very versatile - wore to work with dress pants and flats, and wore out to dinner with jeans and heels. a bit out of my comfort zone since it is a ""swing"" tank, but love the color and cut! perfect for professional life and going out on the town. i did choose a petite in this due to the long armholes (even though i have a long torso for my body size).",5,1,0,Tops,Knits,394
43,Not for big girls :(,Quality is fantastic but i feel like a 14 would have barely made it's way around one leg! this pant is way small in terms of sizing and not a style fit for anyone over a 6. a lot of fabric in the legs. nice pant but not for this girl!,2,0,11,Bottoms,Pants,254
42,Flattering and fun,The dress is very comfortable and the fit is very flattering. i really like the colors and the design. the only con is that it isn't lined.,4,1,1,Dresses,Dresses,157
43,Runs small?,"Beautiful dress appears well-made, but unfortunately i wasn't able to get it on! about 6 inch gap in the zipper over chest area. first time i've ever sent something back to retailer for not fitting.",3,1,3,Dresses,Dresses,209
27,Versatile basic with a little extra,"Purchased in the red and love it! love that it goes with anything from work pants to jean shorts. the ruffle details add just a little extra, which makes it perfect. i just paired with gray chinos a couple days ago and it made a lovely outfit. fits tts. i wear an xs and purchased that.",5,1,6,Tops,Knits,321
64,Way cute!,"As in previous reviews, this top can be worn in many ways. it could even be used as a pretty bathing suit cover-up. i like it with my cropped cotton spandex leggings which i have in many solid colors. i plan to wear it unbuttoned with my classic style spandex tanks i have in various colors & prints. the complete look says 'summer' & feels cool & comfy in this warm weather. even hubby loves the look! 5'3"", 117#. i bought my usual size small.",5,1,3,Tops,Blouses,453
48,Unique design,This really is a pretty top. i do wish it was a little thicker but it's not as see-through as other tees i've seen.,4,1,0,Tops,Knits,128
69,Sweater midi skirt,"I hesitated to buy this skirt even though it was love at first sight. i was afraid it would be to heavy, and add weight. i'm so happy i ordered this one, it'll be a closet staple for me. i love skirts, and am blessed to live in a mild climate in california. i can wear it all year long. right now i can pair it with a slim turtleneck tucked in, with high heel boots, or heels, later can pair with crisp white button up tide at the waist, and strappy sandals, or a tank top, and sandals. it goes with",5,1,3,Bottoms,Skirts,517
74,Great maternity top,"I bought this top when i was 6 months pregnant and wore it the rest of the pregnancy. i am 5'4, 34d and 135 lbs. i got all the way up to 172lbs and a chest size of 36dd. now that i'm not pregnant...i don't think it flatters my ""new figure"" anymore. ha! but i seriously wore it all the time when i was pregnant...so gotta give it at least 4 stars.",4,1,0,Tops,Knits,365
43,Great skirt but bad craftmanship,"Already got a lot of compliments on the first day i wore this skirt. great fun shape, very flattering. however, the 2 panels were sewn using some type of hard/plastic thread which becomes very itchy when you sit down (you can literally feel it through the liner and i'm concerned that over time it might actually rip it). very poor attention to details...",3,1,0,Bottoms,Skirts,387
39,This dress make me laugh,"I always chuckle when i see this dress because it looks so busy and so crazy with all the mixed prints, i think it's a lot of fun. not so fun to put on, but it's worth the trouble. i swear my shoulders are sore after manipulating this on myself. i also own the mona dress in 8p, but i had to size down to a 6 for the melodist because the hips were not fitted enough and the back bloused out too much.",5,1,1,Dresses,Dresses,424
43,Soft & cozy,Super cozy! now that the colder weather is coming i will likely be wearing these every night relaxing at home!!,5,1,1,Intimate,Sleep,122
48,Beautiful!,"Maybe the softest sweater that i own. buy it, and you won't regret it!",5,1,0,Tops,Sweaters,80
42,Super comfortable and flattering,"I have had this dress for a few months now and find it is super comfortable for the hot weather and can go dressy or casual with the right accessories. it does run large in xxs; the xxs petite fit a little better by was way too short for me. even better is that you can wash on the super gentle cycle and lay flat to dry. yes it says dry clean only, but its is made of cupro and you should be able to wash that material. i have washed mine several times and it has never shrunk or lost shape. the she",5,1,0,Dresses,Dresses,532
42,Love these jeans!,"I really can't say enough about them. they have the perfect amount of stretch, are so comfortable and they keep their shape really well. i would say that you could wear them 3 times before washing. also, the color is perfect. they are tts and even allow for a little extra holiday weight without becoming a torture device.",5,1,1,Bottoms,Jeans,339
42,"Beautiful fabric and flow, but it's like a tent","I am 5' 4"" and 120 lbs. i bought the xs as my frame is a bit on the smaller side, but the cut is huge. a pregnant woman could easily pull this off as a very cool maternity dress. i can see it being so cute with a pair of boots or sandals. i wanted to get the xxs, but it's sold out so sadly will have to send it back. but if it works for you, definitely buy it!",4,1,3,Dresses,Dresses,408
23,"Cute, but not flattering on","I really loved this skirt on the model, but it just wasn't flattering when i received my order. i ordered two sizes - 2 and 4. i am 5'4, athletic build and the front closure made my waist look much larger than it is. the back of the skirt also flared out more than i expected it to. 

sadly, i had to return both. perhaps this would look better on someone with a much taller frame.",2,0,0,Bottoms,Skirts,410
56,Perfect little classic summer dress,"Tried this on just for fun today and ended up taking it home in the glorious blue. many have commented on the sizing issue. for reference i am 5'5, 120 lbs, 32a, slender athletic build. i bought a size 2 and it fits like a dream. no large arm holes, no gaping buttons  and the length is perfect. yes it will wrinkle, it's linen. that's part of the look. i feel this will fill a void in my closet that was missing. i was wearing flat ankle wrap espadrilles when i tried it on and it looked super cute.",5,1,0,Dresses,Dresses,535
25,Perfect.,Absolutely stunning dress. true to size and flows like a dream.,5,1,1,Dresses,Dresses,71
41,Exactly as i'd hoped for.,"I love the details of this top: the pleats and ruffles are so pretty and the fit is flattering, especially if you have a tummy. the arm holes aren't gaping like so many tops, so you don't even need a cami underneath to hide your bra. it is a bit on the larger side. i often wear a large, but i got a medium and i may have even been able to get away with a small.",5,1,0,Tops,Knits,387
63,Do not buy it!!!,"This pants the worst short that i ever had!!
i bought ;this short last week and i laundry it yesterday and it came out lost color!!
i was really shock definetly will return it to store.
fyi, i never use chrolox or bleach when i laundry.",1,0,1,Bottoms,Shorts,255
63,Bad quality pants,"Do not waste your money on this.
at first, i bought pilcro hyphen chinos short and i loved it. so i bought this pants in store too. i laundry them yesterday and they both came out colorless. i was so shock. 
fyi, i did not use bleach or chrolox, i mean i don''t use them.i will return them both.
still mad. this is bad quality enough worth it.",1,0,0,Bottoms,Pants,363
66,Not for the well endowed,"I ordered the medium, my usual size for flowing tops. it fits nicely, looks amazing from the front and looks slimming. then i turned to the side and oh my...my boobs protruded like two big balloons. i looked like wonder woman. there was plenty of fabric and it was billowy so it wasn't the size just the cut. i do have 34 g's but what the heck? the color is glorious but it has to go back.",5,1,1,Tops,Blouses,413
65,A cozy wardrobe staple,"This top is large like with free people i got an extra small and washed it right away and put it in the dryer and it is soft and perfect. so comfortable and will be a go to top with jeans, pj bottoms or leggings/ i love the pocket and my cell phone fits perfectly. i am now ordering the other color. for reference i am 5.5"" and 125 pounds.",5,1,6,Tops,Sweaters,361
26,V-neck tee,"Fit is okay, the style of the shirt and the purple flowers are beautiful!",4,1,0,Tops,Knits,83
35,Perfect top,I love this top in peach! i usually wear a size 8 and ended up buying the large because that was all they had in store. it fits well but loose. i usually front tuck it in. what i love the most about this top is the perfect way it slouches off your shoulders. very effortless but doesn't feel like it is falling off. a few other off the shoulder tops i tried are either falling off or rising up (and you constantly have to pull them down over your shoulders) due to elastic in the shoulder. this top h,5,1,2,Tops,Blouses,511
66,Fab versitile top,"Love! love! love! this top! i saw this online and immediately knew tha tthis had to be in my wardrobe. i wear a lot of navy....(in my estimating the classiest color there is...black is passe'). it is simple, very wearable with pants, with skirts. the very thin stripe adds interest, without really being a pattern that conflicts with other patterns. i did have an issue with some threads that were randomly hanging from sleeve cuff...but nothing important. yes, it is cropped...very much so!!! so, if",5,1,1,Tops,Blouses,517
66,Great drape!,I love how this long sweater drapes. it's soft -feels great on - and looks fabulous over leggings or skinnys!,5,1,0,Tops,Fine gauge,121
34,Great tank just not for me,The sizing and length are great had it not been for my chest area. i sized up from my usual medium but the pleats create a maternity look for me unfortunately. it truly is a great tank top!,3,1,0,Tops,Knits,215
36,Weird fit,"I am totally on the fence with this shirt. like the other reviewers, i sized up because my normal 14 was too tight in the chest (a common problem for me). the arms are strangely tight and i didn't get much more room in the bust with the 16. but then the bottom of the shirt tents away and hangs funny. this is obviously meant for those with a very small bust who are on the slender side. i love the pattern and material though, so i'm going to visit my trusty seamstress and see if she can place dart",3,1,14,Tops,Blouses,509
35,Good skirt,I'm glad i got this skirt because it's prettier in person than in the picture. fiance loves it so that's a bonus. it's tts although it's longer than shown on the picture. very high quality and looks expensive. i'm very happy with this purchase.,5,1,1,Bottoms,Skirts,254
33,Must have if you can find it,"I searched far and wide for this dress. after ordering an 8, 10 and 12 from 3 different stores in two different cities, in a span of 2 months, i finally settled on the 10! i literally went searching for this while on vacation, too. i'm 5'5.5"", 160 lbs and 36c bust and the 10 fit perfectly. this dress is adorable and i've worn it to the office and on the weekends. this will definitely be in my biweekly rotation this summer. the quality is on point and it was definitely worth the price tag. i was",5,1,2,Dresses,Dresses,527
54,Great bikini top if you cna find the right fit,"I ordered this top in a size 'm' as i heard mara hoffman runs small. the size chart on her site would have me order a size 's' as i have a 33"" bust (33-25-~37). however, my bra size is a 30d or 32c and the size m is what fit. therefore a m might also fit a 34b and a 36a as the back is adjustable. it even stays up without the halter which is highly unusual for me.

the only negative that really disappointed me is that the patterns are not quite symmetrical as i expect from this brand and from t",5,1,0,Intimate,Swim,546
36,Cozy but bulky,"This has a lot of extra fabric in the chest area. i was hoping i could button and close that in a way that didn't just have it jutting out. luckily, it's still flattering. definitely bulky. and in the black, it's picking up lots of dust and lint. still a great cut and look, so i'm happy with it overall.",4,1,1,Intimate,Lounge,318
42,Interesting and different,"I ordered this dress in both colors. i'm very fair and blonde and the darker dress just swallowed me up - looked really messy on me. the lighter one.....love it. it's very flowy and not form fitting, of course, but something about the lighter color just seems less overwhelming.",4,1,0,Dresses,Dresses,303
55,"Nice, but too long","I loved the rich navy blue color with the accent pockets. the fabric was a nice weight, not too thin like lots of retailer tops. i liked the top from the front, however the back was way too long, especially with the looseness of the style. it would have been much better if it were not so much longer in the back and maybe a little more fitted. it might work on someone taller. i'm 5'3"" and 120 lbs. and i tried xs.",3,0,2,Tops,Knits,433
76,Belt missing,"I ordered this quite nice cardigan. i received the sweater promptly (yay fast shipping!) but never received the belt to it. i tried emailing about it, but didn't get a response. the sweater really is the softest thing ever but it will not close without the belt and trying to use a different belt just doesn't work. i hope to receive the belt soon, because i'd really like to wear this a lot this winter.",3,1,1,Tops,Fine gauge,416
39,Nice and comfortable,"Flattering cut, the tie neck is very nice, but definitely needed the petite for me, regualr size went too low. the striping is a nice flowey thin fabric in grey and navy, with a bit of texture in ti, not sure it is obvious from the picture. length in eptite went right below my knee, but in a goood spot. overall, loved it, but returned in hopes it hits sales one day (jsut spending too much latetly)...",5,1,7,Dresses,Dresses,423
43,Summer perfection,Purchased the daisy sleep top to go with the matching shorts. i had been eyeing them for awhile in the store and so glad i took the plunge to get the set. i feel feminine and sexy as another reviewer noted while not being revealing (helpful for visitors and children :). i purchased a s as it does run a bit large.,5,1,0,Intimate,Sleep,331
65,Fabulous!,"I love these jeans! they are super soft and just the right weight for year around. however, they do run large. i normally wear a size 27. i am 5'7 and weigh 127#'s. because the other reviewers mentioned the sizing issue, i ordered a size down=26. they were too large and i sent them back for an exchange. these are perfect. i get tons of compliments when i wear them...i would love to see coh make them in a true black.",5,1,2,Bottoms,Jeans,428
39,Super soft way to change up a basic outfit!,"Like the other reviewers said, it has a lot of bulky fabric if you wear it as pictured. i tried it on and tied the string around the back so it's an open vest. i love if!",5,1,0,Tops,Knits,213
46,Barely covered my bum,Not a tunic unless the model pictured is 5'1. barely covered my backside and not as advertised. design on top is interesting and the fabric is soft so it's a good buy if 50% off or more.,2,0,0,Tops,Sweaters,207
34,Great dress!,"I bought this dress for fall and will get a lot of wear out of it! the fit is perfect - loose, but structured. plan to pair with booties over the coming months!",5,1,0,Dresses,Dresses,172
34,Cute and comfortable,I found this fit tts for me. i'm normally a 10/12 and took a 12. fit and length are great. the fabric felt substantial and the colors are soft.,5,1,0,Bottoms,Skirts,163
41,Spring flowers!,"This is a wonderful, cheerful spring dress. the material is slightly thicker than expected. (i suppose i thought it would be a little thinner or more summery, but it really works for both seasons.). the fit is exactly spot on as i would expect for tracy reese. i'm 5'2"", 110, 32-24.4-32, and ordered the 0p. colors and fit are just like the product photo. highly recommended.",5,1,3,Dresses,Dresses,390
70,Super cute,"Can't say how much i love this top - ordered on a whim and when it arrived i was so pleasantly surprised. the sweatshirt fabric is thick, the under layers are high quality sheers. super easy to dress up or down - i wore it to a (casual) company holiday party and got tons of compliments. bonus that i just had a baby and the top seemed to hide my not-quite-prepregnancy body, but will also look great when i am back in shape. a definite keeper!",5,1,0,Tops,Knits,454
46,Petite size is really short - nearly a crop top,"Very disappointed in this top. i have a short waist, and it was still too short for me. :-(",2,0,1,Tops,Knits,138
54,Much more than a flannel shirt,"I love the feel of this shirt. from a distance it looks like flannel but close up it appears more like muslin. i find the fabric very soft and the colors are fab--more vivid than the photo. the buttons do not go all the way up the shirt. for me the top button is right at the top of my cleavage so i can wear it alone or with a cami or other scoop neck. if you want a more refined flannel look/feel, this is it. i find it tts. if you're in between sizes, i would order down.",5,1,5,Tops,Blouses,504
49,Love it!,This is a great sweater. soft and beautiful. it's my new go to sweater??,5,1,0,Tops,Sweaters,80
33,Good 'ol pilcros,They're the same quality and fit as my hyphens from last year. easy purchase!,5,1,0,Bottoms,Pants,93
45,One of the cutest tops i have for this summer!,I love this top! it fits perfect and is of great quality! i ordered the pink and love it so much i'm getting the navy one! colors are so trendy as well. this top is so much cuter in person. hard to tell the detail online. definitely recommend to others!,5,1,3,Tops,Blouses,299
31,"Bold color, trendy dress","This dress is really cute, it's not a complete bag on you. i read that other reviewers complained about the fact that it is see-through. and that is the case, but i own multiple pairs of skin-toned underwear and did not find this to be a problem. the fabric is lightweight, but perfect for the summer. it does wrinkle, but a steamer is your best friend.",5,1,0,Dresses,Dresses,377
53,Not proportioned,I ordered a small and the top part was huge yet the bottom a little snug. you need a big chest and small legs and bottom. too bad. it's very cute.,2,0,3,Bottoms,Pants,162
34,Love this dress!,"This is my favorite kind of dress: comfortable, unique, and can dress up or down. i am 5'2 and 100 lb, and bought the regular 0 because there were no petites available. it fit perfectly! the material is buttery soft and looks like it will hold up well, and i love the orange-red color. the tie detail makes this dress stand out and i find the cut very flattering. so glad i ordered it!!",5,1,0,Dresses,Dresses,402
39,I bought both colors,I bought both colors thinking i might like one since i wasn't totally sold on colors looking online. well the cut is sooo flattering that i was sold and had to keep both. this shirts are great.,5,1,0,Tops,Knits,213
39,Love love this skirt!!,This skirt is gorgeous!! drapes beautifully & the color is vibrant! get it!! you'll be so pleased! i sure am!!!,5,1,1,Bottoms,Skirts,133
